playerID,playerPositionIDN,actionIDNaziv,bindedActionIDN,actionOptionIDN,actionPosX1,actionPosX2,actionPosY1,actionPosY2,goalZone,distance,start_sector,end_sector,name
40700,RCM,GOL,0,GLAVOM,106,50,389.32,399.32,Label2,4.58,5,5,S. Medojevic
77888,ST,GOL,0,PLASIRANA LOPTA,227,50,282.32,451.32,Label26,20.3,5,9,H. Seferovic
1802,LCM,GOL,0,NOGOM,363,51,385.32,450.32,Label20,25.68,6,9,A. Meier
1802,CAM,GOL,0,GLAVOM,119,50,420.32,403.32,Label28,5.73,5,5,A. Meier
16520,RW,GOL,0,NOGOM,1190,1295,459.32,421.32,Label105,9.04,12,8,S. Aigner
1802,CAM,GOL,0,VOLEJ,1133,1295,404.32,444.32,Label35,13.46,8,8,A. Meier
1802,CAM,GOL,0,NOGOM,1217,1295,361.32,423.32,Label41,8.21,8,8,A. Meier
1802,ST,GOL,0,NOGOM,1254,1295,391.32,407.32,Label22,3.56,8,8,A. Meier
1770,LW,GOL,0,NOGOM,1169,1295,450.32,442.32,Label28,10.14,12,8,S. Huszti
1802,ST,GOL,0,NOGOM,1212,1295,381.32,401.32,Label22,6.88,8,8,A. Meier
1790,CM,GOL,0,GLAVOM,1234,1295,385.32,443.32,Label23,6.98,8,8,M. Russ
