playerID,playerPositionIDN,actionIDNaziv,bindedActionIDN,actionOptionIDN,targetPlayerID,targetPositionIDN,actionPosX1,actionPosX2,actionPosY1,actionPosY2,start_sector,end_sector,playerName,targetName,Weight
205485,RCM,ASISTENCIJA PRIJE GOLA,0,PODVALJENA LOPTA,16491,RW,931,1118,290.32,546.32,7,12,M. Dahoud,I. Traore,1
206309,RCB,ASISTENCIJA PRIJE GOLA,0,SA BOKA PO ZEMLJI,11500,LCF,150,131,234.32,384.32,5,5,A. Christensen,Raffael,1
102647,LCM,ASISTENCIJA PRIJE GOLA,0,PODVALJENA LOPTA,39479,RCF,1037,1242,203.32,466.32,3,12,G. Xhaka,L. Stindl,1
126631,RB,ASISTENCIJA PRIJE GOLA,0,LOPTA U PROSTOR,16894,LW,295,223,247.32,571.32,5,9,J. Korb,F. Johnson,2
39479,RCF,ASISTENCIJA PRIJE GOLA,0,PODVALJENA LOPTA,11500,LCF,327,212,308.32,297.32,5,5,L. Stindl,Raffael,2
16894,LW,ASISTENCIJA PRIJE GOLA,0,LOPTA U PROSTOR,39479,RCF,476,407,512.32,339.32,10,6,F. Johnson,L. Stindl,1
205485,RCM,ASISTENCIJA PRIJE GOLA,0,PODVALJENA LOPTA,16894,LW,965,1129,415.32,448.32,7,8,M. Dahoud,F. Johnson,1
39479,LCF,ASISTENCIJA PRIJE GOLA,0,CENTARSUT,115078,RW,182,138,79.32,409.32,1,5,L. Stindl,J. Drmic,1
11500,RCF,ASISTENCIJA PRIJE GOLA,0,LOPTA U PROSTOR,16894,LW,722,307,376.32,243.32,7,5,Raffael,F. Johnson,1
11500,LCF,ASISTENCIJA PRIJE GOLA,0,POVRATNA,4610,LWB,187,189,467.32,521.32,9,9,Raffael,O. Wendt,1
205180,RCB,ASISTENCIJA PRIJE GOLA,0,GLAVOM,39479,RCF,207,176,500.32,394.32,9,5,N. Elvedi,L. Stindl,1
126631,RWB,ASISTENCIJA PRIJE GOLA,0,LOPTA U PROSTOR,16894,LCM,756,336,89.32,251.32,3,5,J. Korb,F. Johnson,2
39479,RCF,ASISTENCIJA PRIJE GOLA,0,SURADNJA 2 IGRACA,126631,RW,191,198,454.32,308.32,9,5,L. Stindl,J. Korb,1
39479,RCF,ASISTENCIJA PRIJE GOLA,TOCNO DODAVANJE,PODVALJENA LOPTA,4610,LB,369,216,376.32,466.32,6,9,L. Stindl,O. Wendt,1
39479,RCF,ASISTENCIJA PRIJE GOLA,0,SURADNJA 2 IGRACA,11500,LCF,195,211,523.32,342.32,9,5,L. Stindl,Raffael,2
156709,RW,ASISTENCIJA PRIJE GOLA,0,PODVALJENA LOPTA,39479,RCF,1117,1196,576.32,408.32,12,8,T. Hazard,L. Stindl,1
205485,LCM,ASISTENCIJA PRIJE GOLA,0,PODVALJENA LOPTA,206309,RCB,1159,1240,299.32,463.32,8,12,M. Dahoud,A. Christensen,1
11500,LCF,ASISTENCIJA PRIJE GOLA,0,CENTARSUT,206309,RCB,62,133,783.32,422.32,13,5,Raffael,A. Christensen,1
4610,LB,ASISTENCIJA PRIJE GOLA,0,LOPTA U PROSTOR,11500,LCF,348,136,556.32,513.32,9,9,O. Wendt,Raffael,1
11500,LCF,ASISTENCIJA PRIJE GOLA,0,SURADNJA 2 IGRACA,205485,RCM,1068,1070,566.32,424.32,12,8,Raffael,M. Dahoud,1
16491,RW,ASISTENCIJA PRIJE GOLA,0,PODVALJENA LOPTA,11500,LCF,264,151,509.32,508.32,9,9,I. Traore,Raffael,1
205180,RB,ASISTENCIJA PRIJE GOLA,0,POVRATNA,16894,LW,1232,1131,648.32,501.32,12,12,N. Elvedi,F. Johnson,1
16894,RW,ASISTENCIJA PRIJE GOLA,0,POVRATNA,156709,RCM,1284,1250,536.32,421.32,12,8,F. Johnson,T. Hazard,1
205485,RDM,ASISTENCIJA PRIJE GOLA,0,LOPTA U PROSTOR,101192,RCM,444,294,302.32,254.32,6,5,M. Dahoud,P. Herrmann,1
16894,RW,ASISTENCIJA PRIJE GOLA,0,LOPTA U PROSTOR,11500,LCF,492,156,419.32,635.32,6,9,F. Johnson,Raffael,1
